name_road;name_ward;type_ward;name_district;type_district;name_province;type_province;;;;
hẻm 16 đường so 4;Tam Bình;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 16 đường số 1;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 16 đường số 12;Tam Bình;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 16 đường số 14a;Bình Hưng Hoà A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 16 đường số 18;Phường 8;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 16 đường số 2;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 16 đường số 2;Phường 3;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 16 đường số 3;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 16 đường số 8;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 16 đường số 9;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 16 đường đỗ xuân hợp;Phước Long B;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 16 đặng văn ngữ;Phường 10;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 16/1 nguyễn văn cự;Tân Tạo A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 16/102 nguyễn thiện thuật;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 16/12 đường số 18;Phường 8;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 16/16 nguyễn thiện thuật;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 16/18 đường số 18;Phường 8;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 16/2 đường số 2;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 16/2 đặng văn ngữ;Phường 10;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 16/23 đường số 9;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 16/23/10 đường số 9;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 16/23/16 đường số 9;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 16/23/4 đường số 9;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 16/26;Long Bình;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 16/3 đường đỗ xuân hợp;Phước Long B;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 16/37 đường số 18;Phường 8;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 16/41 nguyễn thiện thuật;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 16/45 nguyễn thiện thuật;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 16/47 nguyễn thiện thuật;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 16/6 đường số 2;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 16/72 nguyễn thiện thuật;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 16/75 nguyễn thiện thuật;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 16/87 nguyễn thiện thuật;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 16/93 nguyễn thiện thuật;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 16/94 nguyễn thiện thuật;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 160 a;Tân Thành;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 160 bùi đình túy;Phường 12;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 160 cống quỳnh;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
hẻm 160 hồng lạc;Phường 11;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 160 lê lợi;Phường 3;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160 lê thúc hoạch;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 160 nguyễn chí thanh;Phường 3;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 160 nguyễn duy dương;Phường 3;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 160 nguyễn hữu tiến;Tây Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 160 nguyễn văn quý;Phú Thuận;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 160 ngô tất tố;Phường 22;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 160 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160 võ thị sáu;Phường 8;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 160 vườn lài;Tân Thành;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 160 vạn kiếp;Phường 3;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 160 xô viết nghệ tĩnh;Phường 21;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 160 ông ích khiêm;Phường 5;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 160 đường nguyễn văn linh;Tân Thuận Tây;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 160 đường số 1;Phường 13;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160 đường số 4;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160 đường số 8;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160 đội cung;Phường 9;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 160/1 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/1 xô viết nghệ tĩnh;Phường 21;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 160/1 đường số 11;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 160/1/32 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/14 nguyễn duy dương;Phường 3;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 160/15 đường số 1;Phường 13;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/17 đường số 4;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/2 đường số 8;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/2 đội cung;Phường 9;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 160/20 đường số 11;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 160/21 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/24 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/24 xô viết nghệ tĩnh;Phường 21;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 160/24 đường số 11;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 160/25 bùi đình túy;Phường 12;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 160/27 bùi đình túy;Phường 12;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 160/28 đường số 4;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/29 đường số 11;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 160/30 nguyễn duy dương;Phường 3;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 160/31 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/34 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/34/38 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/34/46 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/35 nguyễn văn quý;Phú Thuận;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 160/46 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/47 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/47 đường số 11;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 160/57 nguyễn văn quý;Phú Thuận;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 160/58 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/7 đường số 1;Phường 13;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/7 đường số 4;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/84 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/84/16 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/84/6 phan huy ích;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 160/9 đường số 11;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 160/91 nguyễn văn quý;Phú Thuận;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 160/98 nguyễn văn quý;Phú Thuận;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 161;Linh Xuân;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 161;Phường 1;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 161 bình trị đông;Bình Trị Đông A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 161 bông sao;Phường 5;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 161 bùi tư toàn;An Lạc;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 161 bến bình đông;Phường 14;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 161 cộng hòa;Phường 12;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 161 lê hoàng phái;Phường 17;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 161 lũy bán bích;Hiệp Tân;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 161 ni sư huỳnh liên;Phường 10;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 161 phạm văn bạch;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 161 thống nhất;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 161 trương phước phan;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 161 trịnh quang nghị;Phường 7;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 161 trịnh đình trọng;Phú Trung;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 161 vĩnh viễn;Phường 4;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 161 âu cơ;Phường 14;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 161 đường phạm văn chí;Phường 3;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 161 đường số 1;Phường 13;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 161 đường số 4;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 161-đht02;Tân Hưng Thuận;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
hẻm 161/1 bến bình đông;Phường 14;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 161/1/28 bến bình đông;Phường 14;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 161/12 đường số 4;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 161/14 bình trị đông;Bình Trị Đông A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 161/14/5 bình trị đông;Bình Trị Đông A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 161/16 bông sao;Phường 5;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 161/2 bến bình đông;Phường 14;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 161/23 bình trị đông;Bình Trị Đông A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 161/25 bông sao;Phường 5;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 161/28 bình trị đông;Bình Trị Đông A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 161/29 bông sao;Phường 5;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 161/35 ni sư huỳnh liên;Phường 10;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 161/44 trương phước phan;Bình Trị Đông;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 161/7 bình trị đông;Bình Trị Đông A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 1619 phạm thế hiển;Phường 6;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 161a lạc long quân;Phường 3;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 161b lạc long quân;Phường 3;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 161c lạc long quân;Phường 3;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 161d lạc long quân;Phường 3;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 161d/106 lạc long quân;Phường 3;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 161d/106/57 lạc long quân;Phường 3;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 161e lạc long quân;Phường 3;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 162 an dương vương;Phường 16;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 162 b;Phường 12;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 162 bùi thị xuân;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
hẻm 162 cao thắng;Phường 11;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 162 hồ bá kiện;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 162 nguyễn duy cung;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162 nguyễn thái sơn;Phường 4;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162 nguyễn thượng hiền;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162 nguyễn văn lượng;Phường 17;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162 phan đăng lưu;Phường 3;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 162 trần quý;Phường 6;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 162 tân hòa đông;Phường 14;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
hẻm 162 tôn thất hiệp;Phường 13;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 162 xóm chiếu;Phường 14;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
hẻm 162 đường số 10;Phường 9;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162 đường số 2;Phường 3;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162 đường số 9;Phường 9;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/1 nguyễn thượng hiền;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/144 nguyễn duy cung;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/144/1 nguyễn duy cung;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/15 nguyễn duy cung;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/17 nguyễn văn lượng;Phường 17;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/18 nguyễn duy cung;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/18 nguyễn thái sơn;Phường 4;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/18/31 nguyễn duy cung;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/2 nguyễn thái sơn;Phường 4;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/20 an dương vương;Phường 16;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 162/20/12 điện biên phủ;Phường 11;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 162/20/7 an dương vương;Phường 16;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 162/20/8 an dương vương;Phường 16;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 162/23 tôn thất hiệp;Phường 13;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 162/3 nguyễn thượng hiền;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/32 phan đăng lưu;Phường 3;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 162/37 nguyễn duy cung;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/37/2 nguyễn duy cung;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/8 nguyễn thượng hiền;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/9 nguyễn duy cung;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 162/93 tôn thất hiệp;Phường 13;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 1627;Phú Mỹ;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 162b;Phường 12;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 162k1 bến bình đông;Phường 14;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 163;Tân Thuận Tây;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
hẻm 163 an dương vương;An Lạc;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 163 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 163 huỳnh văn bánh;Phường 12;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 163 liên khu 5-6;Bình Hưng Hoà B;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 163 lê thị bạch cát;Phường 11;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 163 nguyễn kim;Phường 7;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163 nguyễn phúc chu;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 163 nơ trang long;Phường 12;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 163 phạm văn bạch;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 163 thành thái;Phường 14;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163 trần quang cơ;Phú Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 163 tân phước;Phường 6;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163 xô viết nghệ tĩnh;Phường 17;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
hẻm 163 đường số 11;Phường 11;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 163 đường số 20;Phường 5;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 163/10 phạm văn bạch;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 163/12 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/14 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/14/32 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/15 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/15/7 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/17 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 163/19 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/21 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/21/11 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/21/23 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/23 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 163/24 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/25 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/26 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/27 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 163/27/13 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 163/27/4 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 163/27/7 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 163/29 tô hiến thành;Phường 13;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
hẻm 163/4 phạm văn bạch;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
hẻm 163/8 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 1632 lê văn lương;Nhơn Đức;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
hẻm 1637 tỉnh lộ 10;Tân Tạo A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 1637/20 tỉnh lộ 10;Tân Tạo A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 164;Tăng Nhơn Phú A;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
hẻm 164 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164 lê quốc hưng;Phường 12;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
hẻm 164 nguyễn oanh;Phường 17;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164 nguyễn thị nhỏ;Phường 15;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 164 nguyễn trọng tuyển;Phường 8;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 164 nguyễn văn trỗi;Phường 8;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 164 trần quốc thảo;Phường 9;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
hẻm 164 trịnh đình trọng;Phú Trung;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 164 tô hiệu;Hiệp Tân;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 164 đường số 20;Phường 5;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164 đường số 3;Phường 16;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164 đường tập doàn 6b;Tân Tạo A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 164/1 nguyễn thị nhỏ;Phường 15;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
hẻm 164/12 trịnh đình trọng;Phú Trung;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 164/13 trịnh đình trọng;Phú Trung;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 164/14 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164/2 trịnh đình trọng;Phú Trung;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 164/24 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164/3 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164/36 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164/4 nguyễn văn trỗi;Phường 8;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 164/44 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164/66 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164/66/12 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164/82 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 164/82/18 bùi quang là;Phường 12;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
hẻm 1647 phạm thế hiển;Phường 6;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
hẻm 1647 tỉnh lộ 10;Tân Tạo A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
hẻm 164a nguyễn văn trỗi;Phường 8;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
hẻm 165;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
hẻm 165 cống quỳnh;Nguyễn Cư Trinh;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
